,MODEL_NAME,FILTER_SIZE,REG_BETA,BATCH_SIZE,RMSE_CAL,RMSE_TUNING
129,study_trial=421.h5,31,0.0005,64,0.1541672536370556,0.5428211642788846
130,study_trial=425.h5,45,0.0055,64,0.44447689964420173,0.5770113244788292
131,study_trial=426.h5,37,0.0,64,0.15070073245983667,0.5603799072840414
132,study_trial=430.h5,51,0.006,64,0.4673912701158347,0.5924255003548445
133,study_trial=431.h5,41,0.0,64,0.2460622161764766,0.5742211893250431
134,study_trial=432.h5,51,0.012,64,0.5102872554704365,0.6017921059112576
135,study_trial=434.h5,47,0.014,64,0.537827362130047,0.6155793206942349
136,study_trial=435.h5,41,0.0,64,0.17190489725698177,0.5741606961960921
137,study_trial=442.h5,43,0.0085,64,0.5160706068457616,0.6099462032828801
138,study_trial=443.h5,51,0.009000000000000001,64,0.4840846883713577,0.5925689294210968
139,study_trial=444.h5,35,0.014,64,0.5348329333126244,0.6142998030581959
140,study_trial=445.h5,27,0.0,64,0.21338582846021656,0.5585139557726386
141,study_trial=446.h5,37,0.0,64,0.24492542014834057,0.5616117192406158
142,study_trial=451.h5,21,0.0,64,0.22809028981964777,0.5685399872934549
143,study_trial=456.h5,35,0.007,64,0.47571760857545453,0.5978988454291742
144,study_trial=457.h5,33,0.0,64,0.2204496987923061,0.5480475525637711
145,study_trial=459.h5,27,0.0,64,0.22412823268848275,0.5471309335468361
146,study_trial=463.h5,15,0.0,64,0.28187880160354273,0.5764611762523227
147,study_trial=468.h5,47,0.012,64,0.5243442709174667,0.6085331799747804
148,study_trial=469.h5,25,0.0,64,0.273240767959932,0.5700116343733019
149,study_trial=470.h5,27,0.0,64,0.19906428837833695,0.5551572073561286
150,study_trial=474.h5,45,0.0075,64,0.472880523059485,0.5909463543079789
151,study_trial=475.h5,47,0.012,64,0.5241858129486703,0.6073840948296544
152,study_trial=477.h5,51,0.013000000000000001,64,0.527717712048926,0.607045464858614
153,study_trial=478.h5,31,0.0,64,0.22270138600941172,0.5516161171245265
154,study_trial=479.h5,29,0.0,64,0.19894005411038324,0.5511710769139276
